exact_complete_ranking_agreement_pairs,exact_complete_ranking_agreement_rate_valid_pairs,expected_pair_count,level_1,level_2,positive_scenarios,scenario_count,scenario_level_exact_agreement_rate_summary,scenario_level_kendall_tau_mean_summary,scenario_level_spearman_mean_summary,scenario_level_vulnerable_rank_agreement_rate_summary,valid_pair_count,vulnerable_rank_agreement_pairs,vulnerable_rank_agreement_rate_valid_pairs
1595,0.6005271084337349,2660,proprietary_gpt,all,,266,"{""count"": 266, ""max"": 1.0, ""mean"": 0.599874686716792, ""median"": 0.6, ""min"": 0.0}","{""count"": 266, ""max"": 1.0, ""mean"": 0.7343609022556391, ""median"": 0.84, ""min"": 0.03999999999999999}","{""count"": 266, ""max"": 1.0, ""mean"": 0.7401879699248121, ""median"": 0.88, ""min"": -0.08000000000000003}",,2656,,
1409,0.5980475382003395,2360,proprietary_gpt,positive,,236,"{""count"": 236, ""max"": 1.0, ""mean"": 0.5973163841807909, ""median"": 0.6, ""min"": 0.0}","{""count"": 236, ""max"": 1.0, ""mean"": 0.7326271186440678, ""median"": 0.78, ""min"": 0.03999999999999999}","{""count"": 236, ""max"": 1.0, ""mean"": 0.7392796610169492, ""median"": 0.855, ""min"": -0.08000000000000003}",,2356,,
186,0.62,300,proprietary_gpt,negative_only,,30,"{""count"": 30, ""max"": 1.0, ""mean"": 0.62, ""median"": 0.6, ""min"": 0.1}","{""count"": 30, ""max"": 1.0, ""mean"": 0.748, ""median"": 0.84, ""min"": 0.16}","{""count"": 30, ""max"": 1.0, ""mean"": 0.7473333333333333, ""median"": 0.88, ""min"": 0.11999999999999995}",,300,,
,,2360,proprietary_gpt,positive_vulnerable_rank_agreement,236,,,,,"{""count"": 236, ""max"": 1.0, ""mean"": 0.709180790960452, ""median"": 0.6, ""min"": 0.1}",2356,1673,0.7101018675721562
2650,1.0,2660,local_qwen,all,,266,"{""count"": 265, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}","{""count"": 265, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}","{""count"": 265, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}",,2650,,
2350,1.0,2360,local_qwen,positive,,236,"{""count"": 235, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}","{""count"": 235, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}","{""count"": 235, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}",,2350,,
300,1.0,300,local_qwen,negative_only,,30,"{""count"": 30, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}","{""count"": 30, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}","{""count"": 30, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}",,300,,
,,2360,local_qwen,positive_vulnerable_rank_agreement,236,,,,,"{""count"": 235, ""max"": 1.0, ""mean"": 1.0, ""median"": 1.0, ""min"": 1.0}",2350,2350,1.0
