arm_id,contract_validity_rate,eligible_positive_scenarios,latency_mean_ms,latency_median_ms,malformed,negative_expected_trials,negative_scenarios,negative_top1_top2_top4_mrr,negative_valid_trials,positive_expected_trials,positive_invalid_trials,positive_valid_trials,provider_failed,rank_distribution,runtime_failed,scenario_level_mrr,scheduled_rows,timeout,tokens_total,top1,top2,top4,valid_trial_mrr,valid_trial_top1,valid_trial_top2,valid_trial_top4
deterministic_minimal,1.0,236,0.011278195488721804,0.0,0,30,30,not_applicable,30,236,0,236,0,"{""1"": 50, ""2"": 53, ""3"": 40, ""4"": 41, ""5"": 52}",0,0.4681497175141243,266,0,not_available,0.211864406779661,0.4364406779661017,0.7796610169491526,0.4681497175141243,0.211864406779661,0.4364406779661017,0.7796610169491526
deterministic_enriched,1.0,236,0,0.0,0,30,30,not_applicable,30,236,0,236,0,"{""1"": 150, ""2"": 42, ""3"": 22, ""4"": 12, ""5"": 10}",0,0.7768361581920904,266,0,not_available,0.635593220338983,0.8135593220338984,0.9576271186440678,0.7768361581920904,0.635593220338983,0.8135593220338984,0.9576271186440678
gpt_minimal,1.0,236,4969.2052631578945,4716.5,0,150,30,not_applicable,150,1180,0,1180,0,"{""1"": 214, ""2"": 201, ""3"": 248, ""4"": 225, ""5"": 292}",0,0.43374293785310736,1330,0,1177955,0.18135593220338983,0.3516949152542373,0.752542372881356,0.43374293785310736,0.18135593220338983,0.3516949152542373,0.752542372881356
gpt_enriched,0.9909774436090225,236,4319.384962406015,4055.5,12,150,30,not_applicable,147,1180,9,1171,0,"{""1"": 706, ""2"": 240, ""3"": 126, ""4"": 72, ""5"": 27}",0,0.7619209039548023,1330,0,1422745,0.6042372881355932,0.8076271186440678,0.9771186440677966,0.7612297181895815,0.6029035012809565,0.8078565328778822,0.9769427839453458
qwen_minimal,0.9924812030075187,236,58403.52180451128,54043.0,10,150,30,not_applicable,150,1180,10,1170,0,"{""1"": 270, ""2"": 215, ""3"": 265, ""4"": 255, ""5"": 165}",0,0.4808404558404558,1330,0,not_available,0.23076923076923078,0.41452991452991456,0.8589743589743589,0.4808404558404558,0.23076923076923078,0.41452991452991456,0.8589743589743589
qwen_enriched,1.0,236,71167.37368421053,65094.0,0,150,30,not_applicable,150,1180,0,1180,0,"{""1"": 485, ""2"": 295, ""3"": 205, ""4"": 105, ""5"": 90}",0,0.6314265536723164,1330,0,not_available,0.4110169491525424,0.6610169491525424,0.923728813559322,0.6314265536723164,0.4110169491525424,0.6610169491525424,0.923728813559322
