arm_id,invalid_trials,scenario_id,scenario_level_mrr,scenario_top1_rate,scenario_top2_rate,scenario_top4_rate,scenario_type,scheduled_trials,valid_positive_trials,valid_trials
deterministic_enriched,0,ow14-s0071,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0072,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0073,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0074,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0075,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0076,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0077,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0078,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0079,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0080,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0081,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0082,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0083,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0084,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0085,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0086,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0087,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0088,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0089,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0090,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0091,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0092,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0093,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0094,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0095,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0096,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0097,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0098,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0099,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0100,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0101,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0102,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0103,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0104,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0105,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0106,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0107,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0108,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0109,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0110,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0111,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0112,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0113,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0114,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0115,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0116,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0117,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0118,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0119,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0120,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0121,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0122,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0123,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0124,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0125,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0126,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0127,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0128,0.2,0.0,0.0,0.0,positive,1,1,1
deterministic_enriched,0,ow14-s0129,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0130,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0131,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0132,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0133,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0134,0.5,0.0,1.0,1.0,positive,1,1,1
