ranking_source,unit,runs_or_trials,top_1_accuracy,top_k_recall,mean_reciprocal_rank,verified_finding_count,no_vulnerability_false_positive_count,candidates_tested_before_verification,vulnerable_rank_distribution,source
deterministic-structural-v1,independent held-out XSS case,3,0.0,1.0,0.5,2,0,"{'2': 2, '3': 1}",{'2': 2},results/heldout-evaluation-v1.2-canonical/tables/xss-ranking-metrics.csv
llm-candidate-ranking-v1,LLM trial over held-out XSS case,15,1.0,1.0,1.0,10,0,"{'1': 10, '3': 5}",{'1': 10},results/heldout-evaluation-v1.2-canonical/tables/xss-ranking-metrics.csv
