model_identifier,artifact_count,provider_failed_count,validation_error_count,latency_ms_min,latency_ms_mean,latency_ms_median,latency_ms_max,input_tokens,output_tokens,total_tokens,cost_total_usd,cost_observation_count
Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,120,0,0,50242,111983.88333333333,111040.0,194949,not_available,not_available,not_available,not_available,0
gpt-5.6-luna,120,120,120,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0
