model_candidate_id,display_name,repository,revision,primary_model_filename,smoke_status,model_loaded_or_call_completed,parser_executed,valid_schema_output,provider_failed,validation_errors,raw_response_retained,existing_candidate_ids_only,latency_ms,memory_observation,scored
phi3_5_mini_instruct_gguf_q4_k_m,Phi-3.5 Mini Instruct GGUF Q4_K_M,bartowski/Phi-3.5-mini-instruct-GGUF,6d70da17e749a471ccb62ade694486011a75cda3,Phi-3.5-mini-instruct-Q4_K_M.gguf,invalid_or_failed,True,True,False,False,"[""malformed JSON response: Expecting property name enclosed in double quotes""]",True,True,34594,peak_memory_not_measured_by_cli_adapter,False
gemma3_4b_it_gguf_q4_k_m,Gemma 3 4B IT GGUF Q4_K_M,ggml-org/gemma-3-4b-it-GGUF,d0976223747697cb51e056d85c532013931fe52e,gemma-3-4b-it-Q4_K_M.gguf,invalid_or_failed,True,True,False,False,"[""malformed JSON response: Expecting value""]",True,True,27059,peak_memory_not_measured_by_cli_adapter,False
mistral_7b_instruct_v0_3_gguf_q4_k_m,Mistral 7B Instruct v0.3 GGUF Q4_K_M,bartowski/Mistral-7B-Instruct-v0.3-GGUF,61fd4167fff3ab01ee1cfe0da183fa27a944db48,Mistral-7B-Instruct-v0.3-Q4_K_M.gguf,invalid_or_failed,True,True,False,False,"[""malformed JSON response: Invalid control character at""]",True,True,48225,peak_memory_not_measured_by_cli_adapter,False
qwen2_5_7b_instruct_gguf_q4_k_m,Qwen2.5 7B Instruct GGUF Q4_K_M,Qwen/Qwen2.5-7B-Instruct-GGUF,bb5d59e06d9551d752d08b292a50eb208b07ab1f,qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf,invalid_or_failed,True,True,False,False,"[""malformed JSON response: Invalid control character at""]",True,True,38476,peak_memory_not_measured_by_cli_adapter,False
