arm_id,scenario_id,trial_number,scenario_has_vulnerability,ranking_valid,schema_invalid,provider_failed,runtime_failed,candidate_count,test_budget,top_k,tested_candidate_count,verified_finding_id,verified_finding_present,trial_start_timestamp,trial_start_source,first_verified_finding_timestamp,time_to_first_verified_finding_ms,requests_to_first_verified_finding,browser_navigations_to_first_verified_finding,candidates_tested_before_first_verification,timing_availability,cost_per_verified_finding_usd,notes
local_qwen,x13-001,1,True,True,False,False,False,4,4,4,1,finding-cae126222f2f,True,2026-08-08T10:46:35.505882+00:00,provider_or_action_timestamp,2026-08-08T10:46:35.679056+00:00,173,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-001,2,True,True,False,False,False,4,4,4,1,finding-995d3668a7e4,True,2026-08-08T11:21:28.588308+00:00,provider_or_action_timestamp,2026-08-08T11:21:28.785010+00:00,197,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-001,3,True,True,False,False,False,4,4,4,1,finding-98e8ee772302,True,2026-08-08T11:55:35.579241+00:00,provider_or_action_timestamp,2026-08-08T11:55:35.725611+00:00,146,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-001,4,True,True,False,False,False,4,4,4,1,finding-bd2648648abe,True,2026-08-08T12:29:47.417571+00:00,provider_or_action_timestamp,2026-08-08T12:29:47.621087+00:00,204,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-001,5,True,True,False,False,False,4,4,4,1,finding-2c6dc839f17f,True,2026-08-08T13:04:00.463814+00:00,provider_or_action_timestamp,2026-08-08T13:04:00.639016+00:00,175,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-002,1,True,True,False,False,False,5,4,4,4,,False,2026-08-08T10:47:54.177446+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-002,2,True,True,False,False,False,5,4,4,4,,False,2026-08-08T11:22:45.854450+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-002,3,True,True,False,False,False,5,4,4,4,,False,2026-08-08T11:56:51.661934+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-002,4,True,True,False,False,False,5,4,4,4,,False,2026-08-08T12:31:03.290585+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-002,5,True,True,False,False,False,5,4,4,4,,False,2026-08-08T13:05:17.157199+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-003,1,True,True,False,False,False,6,4,4,4,finding-06b84d4f349f,True,2026-08-08T10:49:11.869036+00:00,provider_or_action_timestamp,2026-08-08T10:49:12.517545+00:00,649,8,8,4,available,not_available,derived_from_retained_timestamps
local_qwen,x13-003,2,True,True,False,False,False,6,4,4,4,finding-0f7a9fbeebbf,True,2026-08-08T11:23:58.422088+00:00,provider_or_action_timestamp,2026-08-08T11:23:59.064023+00:00,642,8,8,4,available,not_available,derived_from_retained_timestamps
local_qwen,x13-003,3,True,True,False,False,False,6,4,4,4,finding-44c168fc2df0,True,2026-08-08T11:58:04.800848+00:00,provider_or_action_timestamp,2026-08-08T11:58:05.398684+00:00,598,8,8,4,available,not_available,derived_from_retained_timestamps
local_qwen,x13-003,4,True,True,False,False,False,6,4,4,4,finding-a80a99959525,True,2026-08-08T12:32:16.375321+00:00,provider_or_action_timestamp,2026-08-08T12:32:17.032400+00:00,657,8,8,4,available,not_available,derived_from_retained_timestamps
local_qwen,x13-003,5,True,True,False,False,False,6,4,4,4,finding-912ca27adda2,True,2026-08-08T13:06:30.131045+00:00,provider_or_action_timestamp,2026-08-08T13:06:30.767472+00:00,636,8,8,4,available,not_available,derived_from_retained_timestamps
local_qwen,x13-004,1,True,True,False,False,False,6,4,4,1,finding-858ca5f2911a,True,2026-08-08T10:50:35.320638+00:00,provider_or_action_timestamp,2026-08-08T10:50:35.497139+00:00,177,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-004,2,True,True,False,False,False,6,4,4,1,finding-e3314cc26c2d,True,2026-08-08T11:25:20.452538+00:00,provider_or_action_timestamp,2026-08-08T11:25:20.642800+00:00,190,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-004,3,True,True,False,False,False,6,4,4,1,finding-5d944da3a06a,True,2026-08-08T11:59:28.701486+00:00,provider_or_action_timestamp,2026-08-08T11:59:28.896490+00:00,195,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-004,4,True,True,False,False,False,6,4,4,1,finding-6f89f6daa106,True,2026-08-08T12:33:38.960651+00:00,provider_or_action_timestamp,2026-08-08T12:33:39.181620+00:00,221,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-004,5,True,True,False,False,False,6,4,4,1,finding-c252517b6179,True,2026-08-08T13:07:52.558675+00:00,provider_or_action_timestamp,2026-08-08T13:07:52.713107+00:00,154,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-005,1,True,True,False,False,False,7,4,4,1,finding-bd7dc3c63e35,True,2026-08-08T10:52:30.922056+00:00,provider_or_action_timestamp,2026-08-08T10:52:31.102449+00:00,180,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-005,2,True,True,False,False,False,7,4,4,1,finding-d5c5ac13dc32,True,2026-08-08T11:27:08.897965+00:00,provider_or_action_timestamp,2026-08-08T11:27:09.104389+00:00,206,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-005,3,True,True,False,False,False,7,4,4,1,finding-ee6c46c71853,True,2026-08-08T12:01:16.816317+00:00,provider_or_action_timestamp,2026-08-08T12:01:17.004366+00:00,188,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-005,4,True,True,False,False,False,7,4,4,1,finding-60746978414d,True,2026-08-08T12:35:27.426264+00:00,provider_or_action_timestamp,2026-08-08T12:35:27.592006+00:00,166,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-005,5,True,True,False,False,False,7,4,4,1,finding-4936f5146b5e,True,2026-08-08T13:09:41.129883+00:00,provider_or_action_timestamp,2026-08-08T13:09:41.327308+00:00,197,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-006,1,True,True,False,False,False,8,4,4,4,,False,2026-08-08T10:54:40.604147+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-006,2,True,True,False,False,False,8,4,4,4,,False,2026-08-08T11:29:05.219079+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-006,3,True,True,False,False,False,8,4,4,4,,False,2026-08-08T12:03:13.749838+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-006,4,True,True,False,False,False,8,4,4,4,,False,2026-08-08T12:37:24.623106+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-006,5,True,True,False,False,False,8,4,4,4,,False,2026-08-08T13:11:36.681362+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-007,1,True,True,False,False,False,5,4,4,1,finding-7bfefb73c578,True,2026-08-08T10:56:01.409746+00:00,provider_or_action_timestamp,2026-08-08T10:56:01.597337+00:00,188,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-007,2,True,True,False,False,False,5,4,4,1,finding-e601441b3f00,True,2026-08-08T11:30:19.192633+00:00,provider_or_action_timestamp,2026-08-08T11:30:19.363881+00:00,171,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-007,3,True,True,False,False,False,5,4,4,1,finding-500a147b0340,True,2026-08-08T12:04:28.138076+00:00,provider_or_action_timestamp,2026-08-08T12:04:28.332629+00:00,195,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-007,4,True,True,False,False,False,5,4,4,1,finding-eea70004bc1a,True,2026-08-08T12:38:39.067861+00:00,provider_or_action_timestamp,2026-08-08T12:38:39.234541+00:00,167,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-007,5,True,True,False,False,False,5,4,4,1,finding-5aa7e1598a24,True,2026-08-08T13:12:50.975688+00:00,provider_or_action_timestamp,2026-08-08T13:12:51.184571+00:00,209,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-008,1,True,True,False,False,False,6,4,4,3,finding-fb93ecbee866,True,2026-08-08T10:57:25.068019+00:00,provider_or_action_timestamp,2026-08-08T10:57:25.559368+00:00,491,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-008,2,True,True,False,False,False,6,4,4,3,finding-b02d5d9d6f2b,True,2026-08-08T11:31:42.233436+00:00,provider_or_action_timestamp,2026-08-08T11:31:42.661508+00:00,428,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-008,3,True,True,False,False,False,6,4,4,3,finding-37d8dc019697,True,2026-08-08T12:05:51.158832+00:00,provider_or_action_timestamp,2026-08-08T12:05:51.662858+00:00,504,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-008,4,True,True,False,False,False,6,4,4,3,finding-916e3c936194,True,2026-08-08T12:40:02.216607+00:00,provider_or_action_timestamp,2026-08-08T12:40:02.711821+00:00,495,6,6,3,available,not_available,derived_from_retained_timestamps
