arm_id,aggregate_scope,ranking_rows,vulnerable_ranking_rows,negative_ranking_rows,top1_accuracy,topk_recall,mrr,vulnerable_rank_1,vulnerable_rank_2,vulnerable_rank_3,vulnerable_rank_4,missing_vulnerable_in_topk,verified_finding_rows,negative_verified_rows,negative_false_positive_rate,mean_candidates_tested,median_candidates_tested
deterministic_structural,all_retained_trials,24,16,8,0.25,0.6875,0.385417,4,1,2,4,5,11,0,0.0,3.333333,4.0
deterministic_structural,valid_rankings_only,24,16,8,0.25,0.6875,0.385417,4,1,2,4,5,11,0,0.0,3.333333,4.0
proprietary_gpt,all_retained_trials,120,80,40,0.2125,0.725,0.405208,17,19,5,17,22,58,0,0.0,3.216667,4.0
proprietary_gpt,valid_rankings_only,116,78,38,0.217949,0.717949,0.405983,17,18,5,16,22,56,0,0.0,3.206897,4.0
local_qwen,all_retained_trials,120,80,40,0.3125,0.6875,0.442708,25,5,20,5,25,55,0,0.0,3.125,4.0
local_qwen,valid_rankings_only,120,80,40,0.3125,0.6875,0.442708,25,5,20,5,25,55,0,0.0,3.125,4.0
