model_candidate_id,display_name,readiness_status,contract_completed,output_not_truncated,json_parsed,all_candidate_ids_once,unknown_candidate_ids,duplicate_candidate_ids,omitted_candidate_ids,provider_failed,validation_errors,latency_ms,generated_token_count_observed,memory_available_before_bytes,memory_available_after_bytes,memory_available_delta_bytes,scored,final_model_selection_made
qwen2_5_7b_instruct_gguf_q4_k_m,Qwen2.5 7B Instruct GGUF Q4_K_M,not_ready,False,False,False,False,False,False,False,False,"[""malformed JSON response: Extra data""]",128360,270,not_available,not_available,not_available,False,False
phi3_5_mini_instruct_gguf_q4_k_m,Phi-3.5 Mini Instruct GGUF Q4_K_M,not_ready,False,False,False,False,False,False,False,False,"[""malformed JSON response: Extra data""]",149873,448,not_available,not_available,not_available,False,False
mistral_7b_instruct_v0_3_gguf_q4_k_m,Mistral 7B Instruct v0.3 GGUF Q4_K_M,not_ready,False,False,False,False,False,False,False,False,"[""malformed JSON response: Extra data""]",136664,322,not_available,not_available,not_available,False,False
gemma3_4b_it_gguf_q4_k_m,Gemma 3 4B IT GGUF Q4_K_M,not_ready,False,False,False,False,False,False,False,False,"[""malformed JSON response: Extra data""]",60228,222,not_available,not_available,not_available,False,False
