suite_case_id,case_id,category,source_protocol,source_run_id,evidence_source,expected_vulnerable,finding_state,classification,verifier_confirmed_finding,notes
heldout-idor::hi-001,hi-001,read_only_idor,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/framework-idor,True,verified,TP,True,Corrected v1.2 IDOR framework result with isolated evidence sets.
heldout-idor::hi-002,hi-002,read_only_idor,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/framework-idor,False,rejected,TN,False,Corrected v1.2 IDOR framework result with isolated evidence sets.
heldout-sqli::hs-001,hs-001,boolean_sqli,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-sqli,True,verified,TP,True,Unaffected v1.1 SQLi framework result reused by protocol v1.2.
heldout-sqli::hs-002,hs-002,boolean_sqli,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-sqli,False,rejected,TN,False,Unaffected v1.1 SQLi framework result reused by protocol v1.2.
heldout-xss::hx-001,hx-001,reflected_xss,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss,True,verified,TP,True,Deterministic framework XSS result; LLM ranking reported separately.
heldout-xss::hx-002,hx-002,reflected_xss,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss,False,rejected,TN,False,Deterministic framework XSS result; LLM ranking reported separately.
heldout-xss::hx-003,hx-003,reflected_xss,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss,True,verified,TP,True,Deterministic framework XSS result; LLM ranking reported separately.
