artifact_type,identifier,source,revision_or_version,license,sha256,size_bytes
runtime,llama.cpp-b9637-win-cpu-x64-llama-completion,https://github.com/ggml-org/llama.cpp/releases/download/b9637/llama-b9637-bin-win-cpu-x64.zip,b9637,MIT,2272eaaf8bb9477257790835d7b25aaf8fd22941e44ac3fcc9f2df389d1ef7b4,16906751
model,phi3_5_mini_instruct_gguf_q4_k_m,https://huggingface.co/bartowski/Phi-3.5-mini-instruct-GGUF/resolve/6d70da17e749a471ccb62ade694486011a75cda3/Phi-3.5-mini-instruct-Q4_K_M.gguf,6d70da17e749a471ccb62ade694486011a75cda3,mit,e4165e3a71af97f1b4820da61079826d8752a2088e313af0c7d346796c38eff5,2393232672
model,gemma3_4b_it_gguf_q4_k_m,https://huggingface.co/ggml-org/gemma-3-4b-it-GGUF/resolve/d0976223747697cb51e056d85c532013931fe52e/gemma-3-4b-it-Q4_K_M.gguf,d0976223747697cb51e056d85c532013931fe52e,gemma,882e8d2db44dc554fb0ea5077cb7e4bc49e7342a1f0da57901c0802ea21a0863,2489757856
model,mistral_7b_instruct_v0_3_gguf_q4_k_m,https://huggingface.co/bartowski/Mistral-7B-Instruct-v0.3-GGUF/resolve/61fd4167fff3ab01ee1cfe0da183fa27a944db48/Mistral-7B-Instruct-v0.3-Q4_K_M.gguf,61fd4167fff3ab01ee1cfe0da183fa27a944db48,apache-2.0,1270d22c0fbb3d092fb725d4d96c457b7b687a5f5a715abe1e818da303e562b6,4372812000
model,qwen2_5_7b_instruct_gguf_q4_k_m,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-GGUF/resolve/bb5d59e06d9551d752d08b292a50eb208b07ab1f/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf,bb5d59e06d9551d752d08b292a50eb208b07ab1f,apache-2.0,dfce12e3862a5283ccfb88221b48480e58745165de856439950d0f22590580db,3993201344
model,qwen2_5_7b_instruct_gguf_q4_k_m,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-GGUF/resolve/bb5d59e06d9551d752d08b292a50eb208b07ab1f/qwen2.5-7b-instruct-q4_k_m-00002-of-00002.gguf,bb5d59e06d9551d752d08b292a50eb208b07ab1f,apache-2.0,539cf93f78e887edea1c04e2d7d8cdaca9d01dae9c9025bcb8accbe29df3d72a,689872288
