arm_id,contract_invalid_outputs,contract_valid_outputs,contract_validity_rate,latency_mean_ms,latency_median_ms,mrr,negative_rows,positive_rows,provider_or_runtime_failures,scheduled_rows,top1,topk,valid_positive_rows
deterministic_structural,0,266,1.0,0,0.0,0.457274011299435,30,236,0,266,0.2033898305084746,0.788135593220339,236
proprietary_gpt,1,1329,0.9992481203007518,3989.8067669172933,3630.0,0.4732258976533786,150,1180,1,1330,0.23324851569126379,0.7811704834605598,1179
local_qwen,5,1325,0.9962406015037594,57567.44887218045,55150.0,0.4925531914893617,150,1180,0,1330,0.24680851063829787,0.8297872340425532,1175
