arm_id,contract_valid_rows,mean_reciprocal_rank,rows,scenario_id,scenario_type,top1_rate,topk_rate
deterministic_structural,1,0.2,1,ow14-s0088,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0089,positive,0.0,0.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0090,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0091,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0092,positive,0.0,0.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0093,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0094,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0095,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0096,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0097,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0098,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0099,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0100,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0101,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0102,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0103,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0104,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0105,positive,1.0,1.0
deterministic_structural,1,1.0,1,ow14-s0106,positive,1.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0107,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0108,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0109,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0110,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0111,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0112,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0113,positive,0.0,0.0
deterministic_structural,1,0.25,1,ow14-s0114,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0115,positive,1.0,1.0
deterministic_structural,1,1.0,1,ow14-s0116,positive,1.0,1.0
deterministic_structural,1,0.2,1,ow14-s0117,positive,0.0,0.0
deterministic_structural,1,0.25,1,ow14-s0118,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0119,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0120,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0121,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0122,positive,1.0,1.0
deterministic_structural,1,1.0,1,ow14-s0123,positive,1.0,1.0
deterministic_structural,1,0.2,1,ow14-s0124,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0125,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0126,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0127,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0128,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0129,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0130,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0131,positive,1.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0132,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0133,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0134,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0135,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0136,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0137,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0138,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0139,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0140,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0141,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0142,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0143,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0144,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0145,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0146,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0147,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0148,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0149,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0150,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0151,positive,0.0,0.0
deterministic_structural,1,0.25,1,ow14-s0152,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0153,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0154,positive,1.0,1.0
deterministic_structural,1,1.0,1,ow14-s0155,positive,1.0,1.0
deterministic_structural,1,1.0,1,ow14-s0156,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0157,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0158,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0159,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0160,positive,1.0,1.0
deterministic_structural,1,1.0,1,ow14-s0161,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0162,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0163,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0164,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0165,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0166,positive,1.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0167,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0168,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0169,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0170,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0171,positive,0.0,0.0
deterministic_structural,1,0.25,1,ow14-s0172,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0173,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0174,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0175,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0176,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0177,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0178,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0179,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0180,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0181,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0182,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0183,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0184,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0185,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0186,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0187,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0188,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0189,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0190,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0191,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0192,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0193,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0194,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0195,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0196,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0197,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0198,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0199,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0200,positive,1.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0201,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0202,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0203,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0204,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0205,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0206,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0207,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0208,positive,0.0,1.0
